Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i001_1_an_NA_apple	i001_1_an_NA_apple	(#\d{1,3}) 2 10011	eeg_1	eeg_1_a	1	NA	10011	19	an	NA	apple	The old wives' tale says that if you want to keep the doctor away then you should eat an apple a day.	i001_1_an	norm_2	The old wives' tale says that if you want to keep the doctor away then you should eat an	0.800	0.000	0.800	0.100	0.900	0.967	0.967	0.967	0.967	0.200	0.789	[apple]	0.392	[apple]	[vowel]	0.967	0.000	30.000	74.000	0.200	0.789	[apple]	0.392	[apple]	[vowel]	0.967	0.000	30.000	74.000	0.000	3.000	27.000
i001_1_a__NA_carrot	i001_1_a__NA_carrot	(#\d{1,3}) 2 10014	eeg_1	eeg_1_b	1	NA	10014	19	a	NA	carrot	The old wives' tale says that if you want to keep the doctor away then you should eat a carrot a day.	i001_1_a_	norm_2	The old wives' tale says that if you want to keep the doctor away then you should eat a	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.131	0.065	[apple]	0.266	[apple]	[vowel]	0.200	0.000	30.000	94.000	0.131	0.065	[apple]	0.245	[apple]	[vowel]	0.200	0.000	30.000	94.000	0.000	3.000	27.000
i002_1_a__NA_carrot	i002_1_a__NA_carrot	(#\d{1,3}) 2 10022	eeg_1	eeg_1_a	2	NA	10022	18	a	NA	carrot	For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot from the fridge.	i002_1_a_	norm_2	For the snowman's eyes the children used two pieces of coal, and for its nose they used a	0.966	0.034	0.966	0.034	0.966	0.933	0.967	0.933	0.967	0.694	0.735	[carrot]	0.935	[carrot]	[consonant]	0.933	0.000	30.000	31.000	0.694	0.735	[carrot]	0.935	[carrot]	[consonant]	0.933	0.000	30.000	31.000	1.000	29.000	0.000
i002_1_an_NA_apple	i002_1_an_NA_apple	(#\d{1,3}) 2 10023	eeg_1	eeg_1_b	2	NA	10023	18	an	NA	apple	For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple from the fridge.	i002_1_an	norm_2	For the snowman's eyes the children used two pieces of coal, and for its nose they used an	0.000	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.186	0.168	[carrot]	0.400	[orange]	[vowel]	0.367	0.000	30.000	55.000	0.186	0.168	[carrot]	0.400	[orange]	[vowel]	0.367	0.000	30.000	55.000	1.000	29.000	0.000
i003_1_a__NA_lisp	i003_1_a__NA_lisp	(#\d{1,3}) 2 10034	eeg_1	eeg_1_a	3	NA	10034	12	a	NA	lisp	It was difficult to understand the foreign professor because he had a lisp when he spoke.	i003_1_a_	norm_2	It was difficult to understand the foreign professor because he had a	0.207	0.000	0.000	0.000	0.000	0.133	0.133	0.133	0.133	0.240	0.113	[accent]	0.481	[thick]	[consonant]	0.233	0.000	30.000	54.000	0.240	0.113	[accent]	0.481	[thick]	[consonant]	0.233	0.000	30.000	54.000	1.000	0.000	29.000
i003_1_an_NA_accent	i003_1_an_NA_accent	(#\d{1,3}) 2 10031	eeg_1	eeg_1_b	3	NA	10031	12	an	NA	accent	It was difficult to understand the foreign professor because he had an accent when he spoke.	i003_1_an	norm_2	It was difficult to understand the foreign professor because he had an	0.759	0.034	1.000	0.034	1.000	0.967	1.000	0.967	1.000	0.742	0.789	[accent]	0.968	[accent]	[vowel]	0.967	0.000	30.000	31.000	0.742	0.789	[accent]	0.968	[accent]	[vowel]	0.967	0.000	30.000	31.000	1.000	0.000	29.000
i004_1_an_NA_accent	i004_1_an_NA_accent	(#\d{1,3}) 2 10043	eeg_1	eeg_1_a	4	NA	10043	16	an	NA	accent	"Katie did not like to say words with the letter ""s"" because she spoke with an accent and was embarrassed."	i004_1_an	norm_2	"Katie did not like to say words with the letter ""s"" because she spoke with an"	0.036	0.036	0.071	0.036	0.071	0.267	0.267	0.267	0.267	0.154	0.115	[lisp]	0.345	[accent]	[vowel]	0.267	0.000	30.000	55.000	0.154	0.115	[lisp]	0.345	[accent]	[vowel]	0.267	0.000	30.000	55.000	2.000	26.000	2.000
i004_1_a__NA_lisp	i004_1_a__NA_lisp	(#\d{1,3}) 2 10042	eeg_1	eeg_1_b	4	NA	10042	16	a	NA	lisp	"Katie did not like to say words with the letter ""s"" because she spoke with a lisp and was embarrassed."	i004_1_a_	norm_2	"Katie did not like to say words with the letter ""s"" because she spoke with a"	0.821	0.107	0.893	0.107	0.893	0.867	0.867	0.867	0.867	0.528	0.617	[lisp]	0.788	[lisp]	[consonant]	0.867	0.000	30.000	33.000	0.528	0.617	[lisp]	0.788	[lisp]	[consonant]	0.867	0.000	30.000	33.000	2.000	26.000	2.000
i005_1_a__NA_check	i005_1_a__NA_check	(#\d{1,3}) 2 10054	eeg_1	eeg_1_a	5	NA	10054	19	a	NA	check	Dale was very sorry for what he had said to Bernadette and he knew that he owed her a check because she was still upset.	i005_1_a_	norm_2	Dale was very sorry for what he had said to Bernadette and he knew that he owed her a	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.259	0.125	[apology]	0.509	[sincere]	[consonant]	0.300	0.000	30.000	55.000	0.259	0.125	[apology]	0.509	[sincere]	[consonant]	0.300	0.000	30.000	55.000	0.000	2.000	28.000
i005_1_an_NA_apology	i005_1_an_NA_apology	(#\d{1,3}) 2 10051	eeg_1	eeg_1_b	5	NA	10051	19	an	NA	apology	Dale was very sorry for what he had said to Bernadette and he knew that he owed her an apology because she was still upset.	i005_1_an	norm_2	Dale was very sorry for what he had said to Bernadette and he knew that he owed her an	0.900	0.033	0.933	0.033	0.933	0.933	0.933	0.933	0.933	0.572	0.735	[apology]	0.800	[apology]	[vowel]	0.933	0.000	30.000	35.000	0.572	0.735	[apology]	0.800	[apology]	[vowel]	0.933	0.000	30.000	35.000	0.000	2.000	28.000
