Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i001_2_an_NA_apple	i001_2_an_NA_apple	(#\d{1,3}) 2 10011	eeg_2	eeg_2_a	1	30010	10011	7	an	NA	apple	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an apple a day.	i001_2_an	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an	0.742	0.000	0.742	0.161	0.903	0.968	0.968	0.968	0.968	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	1.000	3.000	28.000
i001_2_a__NA_carrot	i001_2_a__NA_carrot	(#\d{1,3}) 2 10014	eeg_2	eeg_2_b	1	30010	10014	7	a	NA	carrot	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a carrot a day.	i001_2_a_	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a	0.000	0.000	0.000	0.000	0.000	0.032	0.032	0.032	0.032	0.069	0.064	[apple]	0.125	[red]	[consonant]	0.161	0.000	31.000	88.000	0.068	0.064	[apple]	0.114	[red]	[consonant]	0.161	0.000	31.000	88.000	1.000	3.000	28.000
i001_2_an_NA_orange	i001_2_an_NA_orange	(#\d{1,3}) 2 10015	eeg_2	eeg_2_c	1	30010	10015	7	an	NA	orange	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an orange a day.	i001_2_an	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an	0.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	1.000	3.000	28.000
i001_2_a__red_apple	i001_2_a__red_apple	(#\d{1,3}) 1 \d{1,3} 2 10018	eeg_2	eeg_2_d	1	30010	10018	8	a	red	apple	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a red apple a day.	i001_2_a_	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a	0.000	0.000	0.742	0.161	0.903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i002_2_a__NA_carrot	i002_2_a__NA_carrot	(#\d{1,3}) 2 10022	eeg_2	eeg_2_a	2	30020	10022	6	a	NA	carrot	For the snowman's eyes the kids used two pieces of coal. For his nose they used a carrot from the fridge.	i002_2_a_	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used a	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	1.000	31.000	0.000
i002_2_an_NA_apple	i002_2_an_NA_apple	(#\d{1,3}) 2 10023	eeg_2	eeg_2_b	2	30020	10023	6	an	NA	apple	For the snowman's eyes the kids used two pieces of coal. For his nose they used an apple from the fridge.	i002_2_an	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used an	0.000	0.000	0.000	0.000	0.000	0.100	0.100	0.100	0.100	0.240	0.202	[carrot]	0.351	[orange]	[vowel]	0.400	1.000	30.000	57.000	0.240	0.202	[carrot]	0.351	[orange]	[vowel]	0.400	1.000	30.000	57.000	1.000	31.000	0.000
i002_2_a__NA_banana	i002_2_a__NA_banana	(#\d{1,3}) 2 10026	eeg_2	eeg_2_c	2	30020	10026	6	a	NA	banana	For the snowman's eyes the kids used two pieces of coal. For his nose they used a banana from the fridge.	i002_2_a_	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used a	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	1.000	31.000	0.000
i002_2_an_inedible_carrot	i002_2_an_inedible_carrot	(#\d{1,3}) 1 \d{1,3} 2 10027	eeg_2	eeg_2_d	2	30020	10027	7	an	inedible	carrot	For the snowman's eyes the kids used two pieces of coal. For his nose they used an inedible carrot from the fridge.	i002_2_an	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used an	0.000	0.000	1.000	0.000	1.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i003_2_an_NA_orange	i003_2_an_NA_orange	(#\d{1,3}) 2 10031	eeg_2	eeg_2_a	3	30030	10031	9	an	NA	orange	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an orange after lunch.	i003_2_an	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an	0.935	0.000	0.935	0.065	1.000	0.968	0.968	0.968	0.968	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	1.000	0.000	31.000
i003_2_a__NA_banana	i003_2_a__NA_banana	(#\d{1,3}) 2 10034	eeg_2	eeg_2_b	3	30030	10034	9	a	NA	banana	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a banana after lunch.	i003_2_a_	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a	0.000	0.000	0.000	0.000	0.000	0.226	0.258	0.226	0.258	0.143	0.122	[orange]	0.244	[tangerine]	[consonant]	0.258	0.000	31.000	45.000	0.143	0.122	[orange]	0.244	[tangerine]	[consonant]	0.258	0.000	31.000	45.000	1.000	0.000	31.000
i003_2_an_NA_apple	i003_2_an_NA_apple	(#\d{1,3}) 2 10035	eeg_2	eeg_2_c	3	30030	10035	9	an	NA	apple	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an apple after lunch.	i003_2_an	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an	0.935	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	1.000	0.000	31.000
i003_2_a__juicy_orange	i003_2_a__juicy_orange	(#\d{1,3}) 1 \d{1,3} 2 10038	eeg_2	eeg_2_d	3	30030	10038	10	a	juicy	orange	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a juicy orange after lunch.	i003_2_a_	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a	0.000	0.000	0.935	0.065	1.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i004_2_a__NA_banana	i004_2_a__NA_banana	(#\d{1,3}) 2 10042	eeg_2	eeg_2_a	4	30040	10042	10	a	NA	banana	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a banana as a treat.	i004_2_a_	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a	0.871	0.000	0.871	0.097	0.968	1.000	1.000	1.000	1.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	1.000	31.000	0.000
i004_2_an_NA_orange	i004_2_an_NA_orange	(#\d{1,3}) 2 10043	eeg_2	eeg_2_b	4	30040	10043	10	an	NA	orange	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an orange as a treat.	i004_2_an	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.145	[banana]	0.328	[apple]	[vowel]	0.323	0.000	31.000	58.000	0.158	0.145	[banana]	0.276	[apple]	[vowel]	0.323	0.000	31.000	58.000	1.000	31.000	0.000
i004_2_a__NA_carrot	i004_2_a__NA_carrot	(#\d{1,3}) 2 10046	eeg_2	eeg_2_c	4	30040	10046	10	a	NA	carrot	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a carrot as a treat.	i004_2_a_	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	1.000	31.000	0.000
